id,fecha,mes,dia_semana,dia,hora,sala,vendedor,item,motivo,demografico,edad,probabilidad_negocio
1809,2015-12-26,12,Saturday,26,15:32,SATURNO,CORA,ORION,VECINO DEL PLANETA,PAREJA,30-40,N/A
1810,2015-12-26,12,Saturday,26,15:36,SATURNO,CORA,ORION,VECINO DEL PLANETA,PAREJA,30-40,N/A
1806,2015-12-26,12,Saturday,26,14:51,SATURNO,ABIGAIL,ATLANTIS,CYBER VOLANTES,HOMBRE SOLO,30-40,N/A
1807,2015-12-26,12,Saturday,26,14:51,SATURNO,ABIGAIL,ATLANTIS,CYBER VOLANTES,HOMBRE SOLO,30-40,N/A
1808,2015-12-26,12,Saturday,26,14:58,SATURNO,ABIGAIL,ATLANTIS,CYBER VOLANTES,MUJER SOLA,30-40,N/A
1804,2015-12-26,12,Saturday,26,13:24,SATURNO,RONALD,ICARUS,VECINO DEL PLANETA,MUJER SOLA,30-40,N/A
1811,2015-12-26,12,Saturday,26,15:53,SATURNO,RONALD,ANDROMEDA,VECINO DEL PLANETA,GRUPO FAMILIAR,20-30,N/A
1818,2015-12-27,12,Sunday,27,13:24,SATURNO,CORA,ICARUS,VECINO DEL PLANETA,GRUPO FAMILIAR,20-30,N/A
1820,2015-12-27,12,Sunday,27,15:20,SATURNO,ABIGAIL,ORBIT JET,CYBER VOLANTES,MUJER SOLA,30-40,N/A
1823,2015-12-27,12,Sunday,27,17:04,SATURNO,ABIGAIL,ATLANTIS,VECINO DEL PLANETA,HOMBRE SOLO,30-40,N/A
1819,2015-12-27,12,Sunday,27,15:13,SATURNO,RONALD,DESTINY,VECINO DEL PLANETA,PAREJA,30-40,N/A
1815,2015-12-27,12,Sunday,27,11:18,SATURNO,RONALD,ORION,VECINO DEL PLANETA,GRUPO FAMILIAR,30-40,N/A
1824,2015-12-28,12,Monday,28,11:23,SATURNO,CORA,ICARUS,VECINO DEL PLANETA,GRUPO FAMILIAR,30-40,N/A
1829,2015-12-28,12,Monday,28,13:34,SATURNO,CORA,ORBIT JET,VECINO DEL PLANETA,GRUPO FAMILIAR,30-40,N/A
1831,2015-12-28,12,Monday,28,14:02,SATURNO,CORA,DESTINY,CONVENIO CIAS INTERGALACTICAS,MUJER SOLA,30-40,N/A
1828,2015-12-28,12,Monday,28,12:26,SATURNO,CORA,ORBIT JET,VECINO DEL PLANETA,PAREJA,30-40,N/A
1827,2015-12-28,12,Monday,28,12:12,SATURNO,LOUIS,DESTINY,CONVENIO CIAS INTERGALACTICAS,PAREJA,30-40,N/A
1840,2015-12-28,12,Monday,28,19:12,SATURNO,COLETTE,ORBIT JET,VECINO DEL PLANETA,PAREJA,30-40,N/A
1841,2015-12-28,12,Monday,28,19:19,SATURNO,COLETTE,ORBIT JET,VECINO DEL PLANETA,PAREJA,30-40,N/A
1853,2015-12-29,12,Tuesday,29,16:08,SATURNO,CORA,ORBIT JET,VECINO DEL PLANETA,GRUPO FAMILIAR,30-40,N/A
1855,2015-12-29,12,Tuesday,29,16:32,SATURNO,CORA,ICARUS,VECINO DEL PLANETA,HOMBRE SOLO,20-30,N/A
1849,2015-12-29,12,Tuesday,29,12:29,SATURNO,CORA,ICARUS,RADIO SUPERSONICA,GRUPO FAMILIAR,20-30,N/A
1859,2015-12-29,12,Tuesday,29,17:02,SATURNO,ABIGAIL,ANDROMEDA,TALLER 3D,MUJER SOLA,20-30,N/A
1861,2015-12-29,12,Tuesday,29,17:49,SATURNO,ABIGAIL,ICARUS,CONVENIO CIAS INTERGALACTICAS,HOMBRE SOLO,30-40,N/A
1862,2015-12-29,12,Tuesday,29,17:54,SATURNO,LOUIS,DESTINY,VECINO DEL PLANETA,PAREJA,40+,N/A
1848,2015-12-29,12,Tuesday,29,12:22,SATURNO,ARIADNA,ATLANTIS,VECINO DEL PLANETA,HOMBRE SOLO,40+,N/A
1851,2015-12-29,12,Tuesday,29,13:05,SATURNO,ARIADNA,ANDROMEDA,ATOMIC TV,PAREJA,30-40,N/A
1852,2015-12-29,12,Tuesday,29,15:44,SATURNO,ARIADNA,ICARUS,WEBSITE 5.0,GRUPO FAMILIAR,40+,N/A
1850,2015-12-29,12,Tuesday,29,13:04,SATURNO,ARIADNA,ANDROMEDA,ATOMIC TV,PAREJA,20-30,N/A
1857,2015-12-29,12,Tuesday,29,16:41,SATURNO,SIMONA,ATLANTIS,VECINO DEL PLANETA,PAREJA,30-40,N/A
1856,2015-12-29,12,Tuesday,29,16:38,SATURNO,SIMONA,ATLANTIS,VECINO DEL PLANETA,PAREJA,40+,N/A
1845,2015-12-29,12,Tuesday,29,11:39,SATURNO,RONALD,DESTINY,CONVENIO CIAS INTERGALACTICAS,MUJER SOLA,20-30,N/A
1871,2015-12-30,12,Wednesday,30,15:51,SATURNO,CORA,DESTINY,VECINO DEL PLANETA,PAREJA,40+,N/A
1865,2015-12-30,12,Wednesday,30,13:13,SATURNO,CORA,DESTINY,VECINO DEL PLANETA,GRUPO FAMILIAR,30-40,N/A
1893,2016-01-04,01,Monday,04,14:27,SATURNO,CORA,ATLANTIS,VECINO DEL PLANETA,GRUPO FAMILIAR,40+,N/A
1895,2016-01-04,01,Monday,04,15:01,SATURNO,ARIADNA,ORBIT JET,ATOMIC TV,HOMBRE SOLO,30-40,N/A
